,genres comedy,genres outros,genres action,genres animation,genres drama,genres crime,genres romance,genres family,genres thriller,genres documentation
143,1,1,1,0,0,0,0,1,0,0
144,1,0,0,0,1,0,1,0,0,0
145,0,1,0,0,0,0,0,1,0,1
146,0,1,1,0,1,1,0,0,1,0
147,1,2,1,1,1,0,1,1,0,0
148,0,2,1,0,1,0,0,0,0,0
149,1,3,1,1,0,0,0,1,0,0
150,0,1,0,0,1,1,0,0,0,0
151,1,0,0,0,1,0,0,0,0,0
152,0,1,1,0,1,0,1,1,0,0
153,0,2,0,0,1,0,0,0,0,0
154,1,1,1,0,0,0,0,0,1,0
155,0,0,0,0,1,0,1,0,0,0
156,1,0,0,0,1,0,0,0,0,0
157,1,0,0,0,0,0,0,0,0,0
158,1,0,0,0,1,0,0,1,0,0
159,1,0,0,0,1,0,0,1,0,0
160,1,0,0,0,1,0,1,0,0,0
161,1,1,1,1,0,0,0,1,0,0
162,1,0,0,0,1,0,1,0,0,0
163,0,0,0,0,0,0,0,0,0,1
164,0,1,1,0,0,0,0,0,0,0
165,0,0,0,0,1,1,0,0,0,0
166,1,0,0,0,1,0,1,0,0,0
167,0,0,0,0,1,0,1,0,0,0
168,1,0,0,0,0,0,0,0,0,1
169,1,0,0,0,0,0,0,0,0,0
170,0,1,0,0,1,0,0,0,0,0
171,1,0,0,0,0,1,0,0,1,0
172,0,1,0,0,1,0,1,0,0,0
173,0,2,0,0,1,0,0,0,0,1
174,1,1,0,0,0,0,0,0,0,1
175,1,0,0,0,0,0,0,0,0,1
176,0,0,0,0,1,0,1,0,0,0
177,0,0,0,0,1,0,0,0,0,0
178,0,0,0,0,1,0,1,0,0,0
179,0,0,1,0,1,0,1,0,1,0
180,1,0,0,0,0,0,0,0,0,0
181,1,0,0,0,0,0,0,0,0,1
182,0,0,0,0,1,1,0,0,0,0
183,0,1,0,0,1,0,1,1,0,0
184,1,1,0,0,1,0,1,0,0,0
185,0,0,0,0,1,0,0,0,0,0
186,1,0,1,0,1,0,1,0,0,0
187,1,0,0,0,1,0,1,0,0,0
188,1,0,0,0,0,0,0,0,0,1
189,1,0,0,0,1,0,1,0,0,0
190,1,0,1,0,0,1,0,0,1,0
191,1,0,0,0,1,0,0,0,0,0
192,0,0,0,0,1,1,1,0,1,0
193,0,1,0,0,1,0,0,0,0,0
194,1,0,0,0,1,0,1,0,0,0
195,0,1,0,0,0,0,0,0,0,1
196,1,0,0,0,0,0,0,0,0,0
197,1,0,0,0,0,0,0,0,0,1
198,1,0,0,0,0,0,0,0,0,0
199,1,2,0,0,1,0,1,0,0,0
200,0,0,1,0,1,1,0,0,0,0
201,0,2,0,0,1,1,0,0,0,0
202,0,0,1,0,1,1,0,0,1,0
203,1,0,0,0,0,0,0,0,0,1
204,1,0,0,0,0,0,0,0,0,1
205,0,0,1,0,1,1,1,0,1,0
206,1,0,0,0,0,0,0,0,0,1
207,0,1,0,0,1,0,1,0,0,0
208,0,0,1,0,1,0,0,0,0,0
209,0,0,0,0,1,0,0,0,0,0
210,1,1,1,0,0,0,1,0,0,0
211,0,0,1,0,1,0,1,0,0,0
212,0,0,0,0,0,0,0,0,0,0
213,0,0,0,0,1,1,0,0,1,0
214,0,0,0,0,1,0,0,0,0,0
215,0,0,1,0,1,0,0,0,0,0
216,0,0,0,0,1,1,0,0,1,0
217,1,3,0,0,0,0,0,0,0,0
218,0,2,1,0,1,0,0,0,1,0
219,0,3,0,0,1,0,0,0,1,0
220,0,2,0,0,0,0,0,0,1,0
221,1,0,0,0,0,0,0,0,0,0
222,0,2,0,0,0,0,0,0,0,0
223,1,1,0,0,0,0,0,0,0,0
224,0,1,0,0,1,0,0,0,0,0
225,1,0,0,0,0,0,0,0,0,0
226,0,0,0,0,1,1,0,0,0,0
227,0,0,0,0,1,0,1,0,0,0
228,1,0,0,0,0,0,0,0,0,0
229,0,0,0,0,1,0,0,1,0,0
230,0,0,0,0,1,1,0,0,0,1
231,1,1,0,0,0,0,0,0,0,0
232,1,0,1,0,1,1,0,0,1,0
233,0,2,1,1,0,0,0,1,0,0
234,1,0,0,0,0,0,0,0,0,0
235,0,1,0,0,1,0,0,0,0,0
236,1,1,0,0,0,0,0,0,0,0
237,0,2,1,0,0,0,0,0,1,0
238,1,1,1,1,0,0,0,1,0,0
239,0,0,1,0,1,1,0,0,1,0
240,1,0,0,0,1,0,1,1,0,0
241,0,1,0,0,0,0,0,0,1,0
242,0,1,1,0,0,0,0,0,1,0
243,0,2,0,1,1,1,0,0,1,0
244,0,3,0,0,1,0,1,0,1,0
245,1,2,1,1,0,0,0,0,1,0
246,0,1,1,0,0,1,0,0,1,0
247,0,1,1,0,0,0,0,0,1,0
248,1,3,0,1,1,0,0,1,0,0
249,0,1,1,0,0,0,0,0,1,0
250,1,1,0,0,0,0,0,0,0,0
251,1,0,0,0,1,0,1,0,0,0
252,0,0,0,0,1,1,0,0,1,0
253,0,0,0,0,1,1,0,0,1,1
254,1,2,0,0,1,0,1,1,0,0
255,0,1,1,0,1,0,1,0,0,0
256,0,1,0,0,1,0,0,0,1,0
257,0,3,1,0,1,0,0,0,0,0
258,0,0,1,0,0,1,0,0,1,0
259,1,0,0,0,0,1,0,0,0,0
260,1,0,0,0,1,0,1,0,0,0
261,0,1,0,0,0,0,0,0,0,0
262,1,0,1,0,0,0,0,0,1,0
263,0,0,1,0,0,0,0,0,1,0
