,genres comedy,genres outros,genres action,genres fantasy,genres animation,genres drama,genres romance,genres sport,genres scifi,genres thriller
142,1,0,0,1,1,0,1,0,0,0
143,1,0,1,0,1,0,0,0,1,0
144,1,0,0,0,1,0,1,0,1,0
145,1,0,0,0,1,1,0,1,0,0
146,1,0,0,0,1,1,1,0,0,0
147,0,0,0,0,1,0,0,0,1,0
148,1,0,0,1,1,1,0,0,0,0
149,0,0,0,0,1,1,1,0,0,0
150,0,0,0,0,1,0,0,0,1,0
151,1,0,0,0,1,1,1,0,0,0
152,1,0,1,1,1,1,0,0,1,0
153,1,0,1,1,1,0,0,0,0,0
154,0,0,0,0,0,0,0,0,1,0
155,0,0,1,0,1,0,0,0,1,0
156,1,0,0,0,1,1,1,0,0,0
157,0,1,1,0,1,1,0,0,0,1
158,0,0,1,0,1,0,0,0,1,0
159,1,0,0,0,1,0,1,0,0,0
160,1,0,0,0,1,0,0,0,0,0
161,0,0,0,0,1,1,1,0,1,0
162,0,0,1,0,1,1,0,0,1,0
163,1,0,0,1,1,0,1,0,0,0
164,1,0,1,0,1,1,1,0,1,0
165,0,0,0,1,1,1,0,0,1,0
166,1,1,1,1,1,0,0,0,0,0
167,0,0,0,0,0,0,0,0,1,0
168,1,1,0,1,1,1,0,0,1,0
169,0,0,1,1,1,0,0,0,1,0
170,0,0,0,0,1,1,0,0,1,0
171,0,0,0,0,1,1,1,0,0,0
172,0,0,0,0,1,0,0,0,0,0
173,0,0,1,0,1,0,0,0,1,0
174,1,0,0,0,1,0,1,0,0,0
175,0,0,1,1,1,1,0,0,0,0
176,0,0,0,0,0,0,0,0,1,0
177,0,0,0,0,1,1,1,0,0,0
178,1,0,0,0,1,1,0,0,0,0
179,1,0,1,0,1,0,0,0,0,0
180,1,0,1,0,1,0,1,0,1,0
181,1,0,0,0,1,1,1,0,1,0
182,0,1,1,0,1,1,0,0,1,0
183,0,0,1,0,1,0,1,0,1,0
184,0,0,0,1,1,0,0,0,0,0
185,0,2,0,0,1,0,0,0,1,0
186,1,0,0,0,1,1,1,0,1,0
187,1,0,0,1,1,0,1,0,1,0
188,1,0,1,1,1,0,1,0,1,0
189,1,0,1,0,1,1,1,0,0,0
190,0,0,1,1,1,0,0,0,0,0
191,1,0,0,1,1,0,1,0,0,0
192,1,0,0,0,1,1,1,0,1,0
193,1,0,0,0,1,1,0,0,0,0
194,0,0,1,1,1,1,0,0,0,0
195,0,0,1,0,0,0,0,0,0,0
196,1,0,0,0,1,1,0,0,0,0
197,1,0,1,0,1,0,1,0,1,0
198,0,0,1,1,1,0,0,0,0,0
199,1,2,1,1,1,1,1,0,0,0
200,0,0,1,1,1,1,0,0,1,0
201,0,0,0,1,1,0,1,0,0,0
202,1,0,0,0,1,1,1,0,0,0
203,0,0,1,1,1,0,1,0,1,0
204,0,0,0,0,1,1,1,0,0,0
205,1,0,0,0,1,1,0,0,0,0
206,0,0,1,1,1,0,1,0,1,0
207,0,0,0,0,1,0,0,0,0,0
208,0,0,1,0,1,0,0,0,1,0
209,0,0,0,0,1,1,1,0,0,0
210,1,0,0,1,1,0,0,0,0,0
211,0,0,0,1,1,0,0,0,1,0
212,1,0,1,0,1,0,0,1,0,0
213,1,0,1,0,1,1,0,0,1,0
214,1,0,0,0,1,0,0,0,0,0
215,1,0,0,0,1,0,0,0,0,0
216,1,1,0,1,1,1,0,0,0,0
217,0,0,0,0,1,0,0,0,0,0
218,0,0,0,0,1,1,1,0,0,0
219,0,0,1,0,0,0,0,0,0,0
220,1,1,0,0,1,1,0,0,1,0
221,1,0,0,0,1,0,0,0,0,0
222,1,0,0,0,1,1,1,0,1,0
223,1,1,0,0,1,1,0,0,0,0
224,0,0,0,0,0,0,0,0,1,0
225,0,0,1,0,1,0,0,0,1,1
226,1,0,1,0,1,1,0,1,0,0
227,1,1,0,1,1,0,1,0,0,0
228,1,0,1,0,1,0,0,0,1,0
229,1,0,0,0,1,1,1,0,0,0
230,0,0,0,0,1,0,0,0,0,0
231,1,0,0,0,0,0,0,0,0,0
232,0,0,0,0,1,1,1,0,0,0
233,1,0,0,1,1,1,1,0,0,0
234,0,0,0,0,1,0,0,0,0,0
235,1,0,0,0,1,1,0,0,0,0
236,1,0,1,1,1,0,0,0,1,0
237,0,0,0,0,1,0,0,0,1,0
238,1,0,1,1,1,0,0,0,1,0
239,0,0,0,0,1,1,0,0,0,0
240,0,0,1,1,1,0,0,0,0,0
241,0,0,0,0,1,1,1,0,0,0
242,1,0,1,1,1,1,1,0,0,0
243,1,3,1,1,1,1,0,0,0,0
244,1,1,1,1,1,1,0,0,1,1
245,1,0,0,0,1,1,1,0,1,1
246,1,1,1,1,1,1,1,0,1,1
247,0,0,0,1,1,1,0,0,1,1
248,0,0,1,0,1,1,1,0,0,1
249,0,1,0,0,1,1,0,0,0,1
250,1,0,0,0,1,0,0,0,0,0
251,0,0,1,1,1,1,0,0,1,1
252,0,2,1,1,1,1,0,0,1,0
253,0,1,0,1,1,1,0,0,1,0
254,0,0,0,1,1,1,1,0,0,0
255,1,0,1,1,1,0,0,0,1,0
256,1,0,0,0,1,1,1,0,0,0
257,0,0,0,0,1,0,0,0,0,0
258,1,0,0,0,1,0,0,1,0,0
259,1,0,0,0,1,0,1,0,0,0
260,1,2,1,1,1,1,0,0,0,0
261,1,0,0,0,1,0,0,0,0,0
262,0,0,1,0,1,0,1,0,1,0
263,1,0,0,0,1,1,0,0,0,0
264,1,0,0,0,1,1,0,0,0,0
265,1,0,1,1,1,1,0,0,0,0
266,1,0,0,0,1,1,0,0,0,0
267,1,0,1,1,1,0,1,0,1,0
268,1,0,0,0,1,1,0,0,1,0
269,1,0,1,1,1,0,0,0,1,0
270,0,0,1,1,1,0,0,0,1,0
271,0,0,1,1,1,0,0,0,1,0
272,0,0,0,0,1,0,0,0,0,0
273,0,0,1,1,1,0,1,0,1,0
274,1,0,1,1,1,0,0,0,1,0
275,0,0,1,0,1,0,0,0,1,0
276,1,0,1,1,1,0,0,0,1,0
277,1,0,1,1,1,0,0,0,0,0
278,1,0,0,0,1,1,1,0,0,0
279,0,0,0,0,1,0,0,0,0,0
280,1,2,1,0,1,0,1,0,1,0
281,1,0,1,0,1,0,0,0,0,0
282,1,0,0,0,1,1,0,0,0,0
283,0,0,0,0,1,0,1,0,1,0
284,1,0,0,1,1,1,1,0,1,0
285,1,0,0,0,0,0,0,0,0,0
286,0,0,1,0,1,0,0,1,0,0
287,1,0,0,0,1,0,0,1,0,0
288,1,0,0,0,1,0,0,0,1,0
289,1,0,0,0,0,1,0,0,0,0
290,1,0,0,0,1,1,0,0,0,0
291,0,0,0,0,0,0,0,0,1,0
292,0,1,1,0,1,1,1,0,1,0
293,1,1,1,1,1,0,0,0,0,0
294,0,0,0,0,1,0,0,0,1,0
295,0,0,1,1,1,0,1,0,1,0
296,0,0,1,0,1,1,0,0,1,0
297,1,0,0,1,1,0,0,0,1,0
